tahun,kualitas,bulan,harga
2021,Premium,januari,9780.19
2021,Medium,januari,9404.74
2021,Luar Kualitas,januari,9036.42
2021,Premium,febuari,9772.1
2021,Medium,febuari,9386.31
2021,Luar Kualitas,febuari,9145.73
2021,Premium,maret,9606.97
2021,Medium,maret,9153.68
2021,Luar Kualitas,maret,8741.8
2021,Premium,april,9549.76
2021,Medium,april,8978.86
2021,Luar Kualitas,april,8675.23
2021,Premium,mei,9627.08
2021,Medium,mei,8909.5
2021,Luar Kualitas,mei,8710.44
2021,Premium,juni,9537.16
2021,Medium,juni,8906.67
2021,Luar Kualitas,juni,8694.95
2021,Premium,juli,9401.61
2021,Medium,juli,8886.9
2021,Luar Kualitas,juli,8481.43
2021,Premium,agustus,9499.36
2021,Medium,agustus,8915.75
2021,Luar Kualitas,agustus,8688.77
2021,Premium,september,9455.56
2021,Medium,september,8962.39
2021,Luar Kualitas,september,8588.59
2021,Premium,oktober,9449.47
2021,Medium,oktober,9010.82
2021,Luar Kualitas,oktober,8630.83
2021,Premium,november,9539.29
2021,Medium,november,9071.94
2021,Luar Kualitas,november,8711.19
2021,Premium,desember,9672.54
2021,Medium,desember,9128.44
2021,Luar Kualitas,desember,8888.5
2022,Premium,januari,9824.23
2022,Medium,januari,9381.24
2022,Luar Kualitas,januari,9038.14
2022,Premium,febuari,9826.88
2022,Medium,febuari,9358.61
2022,Luar Kualitas,febuari,9061.74
2022,Premium,maret,9786.63
2022,Medium,maret,9323.35
2022,Luar Kualitas,maret,9061.05
2022,Premium,april,9576.75
2022,Medium,april,9104.35
2022,Luar Kualitas,april,8853.24
2022,Premium,mei,9512.63
2022,Medium,mei,9065.18
2022,Luar Kualitas,mei,8902.12
2022,Premium,juni,9497.4
2022,Medium,juni,9007.86
2022,Luar Kualitas,juni,8848.66
2022,Premium,juli,9628.57
2022,Medium,juli,9091.92
2022,Luar Kualitas,juli,8905.52
2022,Premium,agustus,9901.15
2022,Medium,agustus,9358.34
2022,Luar Kualitas,agustus,9069.27
2022,Premium,september,10252.31
2022,Medium,september,9785.04
2022,Luar Kualitas,september,9465.63
2022,Premium,oktober,10402.23
2022,Medium,oktober,10043.47
2022,Luar Kualitas,oktober,9516.09
2022,Premium,november,10511.71
2022,Medium,november,10122.15
2022,Luar Kualitas,november,9542.12
2022,Premium,desember,10954.01
2022,Medium,desember,10371.11
2022,Luar Kualitas,desember,9806.58
2023,Premium,januari,11345.1
2023,Medium,januari,10801.71
2023,Luar Kualitas,januari,10227.61
2023,Premium,febuari,11818.17
2023,Medium,febuari,11300.76
2023,Luar Kualitas,febuari,10467.91
2023,Premium,maret,11681.09
2023,Medium,maret,11121.88
2023,Luar Kualitas,maret,10475.91
2023,Premium,april,11672.19
2023,Medium,april,11049.87
2023,Luar Kualitas,april,10564.51
2023,Premium,mei,11623.61
2023,Medium,mei,11005.56
2023,Luar Kualitas,mei,10428.81
